entries,implementation,reachable_words,allocated_words,time(ns)
150000,irmin,829557,2288719.000000,257
151000,irmin,829557,2288719.000000,261
152000,irmin,829557,2288719.000000,266
153000,irmin,829557,2288719.000000,268
154000,irmin,829557,2288719.000000,276
155000,irmin,829557,2288719.000000,271
156000,irmin,829557,2288719.000000,275
157000,irmin,829557,2288719.000000,269
158000,irmin,829557,2288719.000000,281
159000,irmin,829557,2288719.000000,290
160000,irmin,829557,2288722.000000,301
161000,irmin,829557,2288722.000000,297
162000,irmin,829557,2288722.000000,314
163000,irmin,829557,2288722.000000,307
164000,irmin,829557,2288722.000000,306
165000,irmin,829557,2288722.000000,324
166000,irmin,829557,2288722.000000,314
167000,irmin,829557,2288722.000000,341
168000,irmin,829557,2288722.000000,346
169000,irmin,829557,2288722.000000,360
170000,irmin,829557,2288722.000000,365
171000,irmin,829557,2288722.000000,366
172000,irmin,829557,2288722.000000,395
173000,irmin,829557,2288722.000000,398
174000,irmin,829557,2288722.000000,406
175000,irmin,829557,2288722.000000,417
176000,irmin,829557,2550863.000000,420
177000,irmin,829557,2550863.000000,458
178000,irmin,829557,2550863.000000,477
179000,irmin,829557,2550863.000000,467
180000,irmin,829557,2550863.000000,516
181000,irmin,829557,2550863.000000,532
182000,irmin,829557,2550863.000000,557
183000,irmin,829557,2550863.000000,556
184000,irmin,829557,2550863.000000,611
185000,irmin,829557,2550863.000000,698
186000,irmin,829557,2550863.000000,764
187000,irmin,1244321,3169186.000000,14243
188000,irmin,1244321,3169186.000000,247
189000,irmin,1244321,3169186.000000,248
190000,irmin,1244321,3169186.000000,277
191000,irmin,1244321,3169186.000000,279
192000,irmin,1244321,3169186.000000,255
193000,irmin,1244321,3169186.000000,337
194000,irmin,1244321,3169186.000000,290
195000,irmin,1244321,3169186.000000,255
196000,irmin,1244321,3169186.000000,258
197000,irmin,1244321,3169186.000000,261
198000,irmin,1244321,3169186.000000,259
199000,irmin,1244321,3169186.000000,262
200000,irmin,1244321,3169186.000000,261
201000,irmin,1244321,3169186.000000,259
202000,irmin,1244321,3169186.000000,262
203000,irmin,1244321,3169186.000000,264
204000,irmin,1244321,3169186.000000,261
205000,irmin,1244321,3169186.000000,263
206000,irmin,1244321,3169186.000000,253
207000,irmin,1244321,3169186.000000,262
208000,irmin,1244321,3169186.000000,262
209000,irmin,1244321,3169186.000000,256
210000,irmin,1244321,3169186.000000,257
211000,irmin,1244321,3169186.000000,256
212000,irmin,1244321,3169186.000000,264
213000,irmin,1244321,3169186.000000,259
214000,irmin,1244321,3169186.000000,258
215000,irmin,1244321,3431320.000000,259
216000,irmin,1244321,3431320.000000,268
217000,irmin,1244321,3431320.000000,257
218000,irmin,1244321,3431320.000000,270
219000,irmin,1244321,3431320.000000,267
