552662778, 10, 0, 0
828864855, 20, 0, 0
1121003277, 30, 0, 0
1391482299, 40, 0, 0
1720258422, 50, 0, 0
1997677344, 60, 0, 0
2280571535, 70, 0, 0
2567852877, 80, 0, 0
2868941704, 90, 0, 0
3378666965, 100, 0, 0
3634257100, 110, 0, 0
3892398995, 120, 0, 0
4152419467, 130, 0, 0
4419181292, 140, 0, 0
4734669573, 150, 0, 0
5022933996, 160, 0, 0
5347199856, 170, 0, 0
5639335179, 180, 0, 0
6077956290, 190, 0, 0
6550998494, 200, 0, 0
6805751362, 210, 0, 0
7060294005, 220, 0, 0
7315021219, 230, 0, 0
7569182150, 240, 0, 0
7822866234, 250, 0, 0
8077081692, 260, 0, 0
8352591866, 270, 0, 0
8665373589, 280, 0, 0
8953556248, 290, 0, 0
9486850575, 300, 0, 0
9753635277, 310, 0, 0
10020035985, 320, 0, 0
10286221584, 330, 0, 0
10553584846, 340, 0, 0
10820796540, 350, 0, 0
11087106076, 360, 0, 0
11353524460, 370, 0, 0
11930468761, 380, 0, 0
12179409954, 390, 0, 0
12704497422, 400, 0, 0
12958420344, 410, 0, 0
13212945759, 420, 0, 0
13460970903, 430, 0, 0
13709818723, 440, 0, 0
13958312152, 450, 0, 0
14199363038, 460, 0, 0
14441742046, 470, 0, 0
14687368653, 480, 0, 0
14938549481, 490, 0, 0
15466986713, 500, 0, 0
15725407598, 510, 0, 0
15982722231, 520, 0, 0
16246227555, 530, 0, 0
16513018382, 540, 0, 0
16773837314, 550, 0, 0
17031159009, 560, 0, 0
17288986931, 570, 0, 0
17546023823, 580, 0, 0
17804842013, 590, 0, 0
18280513975, 600, 0, 0
18547325130, 610, 0, 0
18811653470, 620, 0, 0
19076343160, 630, 0, 0
19339455858, 640, 0, 0
19604166163, 650, 0, 0
19870863199, 660, 0, 0
20139743603, 670, 0, 0
20407671873, 680, 0, 0
20668800739, 690, 0, 0
21154433431, 700, 0, 0
21427523216, 710, 0, 0
21696349164, 720, 0, 0
21965545210, 730, 0, 0
22234929467, 740, 0, 0
22503966975, 750, 0, 0
23403469915, 760, 0, 0
23652512475, 770, 0, 0
23902423651, 780, 0, 0
24179161130, 790, 0, 0
24703703347, 800, 0, 0
24958305390, 810, 0, 0
25213605488, 820, 0, 0
25472017633, 830, 0, 0
25721679523, 840, 0, 0
25972293460, 850, 0, 0
26221796065, 860, 0, 0
26472089532, 870, 0, 0
26722943047, 880, 0, 0
26976284822, 890, 0, 0
27454646403, 900, 0, 0
27713638098, 910, 0, 0
27971993304, 920, 0, 0
28225138101, 930, 0, 0
28483113739, 940, 0, 0
28739818293, 950, 0, 0
28996271494, 960, 0, 0
29249279014, 970, 0, 0
29502115229, 980, 0, 0
29754701704, 990, 0, 0
30325022383, 1000, 0, 0
